ID	url	title	snippet
1.1	http://www.aida-international.org/	AIDA International	International Assoication for Development of Apnea dedicated for breath-hold diving or apnea which manages and oversees the recognition of records, organizes competitions, and sets standards for freedive education.
1.2	http://disney.go.com/theatre/aida	Disney on Broadway - 'Elton John and Tim Rice's Aida'- Official Homepage	The official site of 'Elton John and Tim Rice's Aida.' Buy tickets online, meet the cast, hear the Tony Award-winning music, get performance and tour information, ...
1.3	http://en.wikipedia.org/wiki/Aida	Aida - Wikipedia, the free encyclopedia	For other references see Aida (disambiguation) Aida is an opera in four ... Aida, the daughter of the Ethiopian King Amonasro, lives at Memphis as a slave. ...
1.4	http://en.wikipedia.org/wiki/Aida_(musical)	Aida (musical) - Wikipedia, the free encyclopedia	Aida is a musical drama in two acts based on Giuseppe Verdi's Italian-language ... named Elton John and Tim Rice's Aida, ran at the Palace Theatre between March ...
1.5	http://aida.developmentgateway.org/AidaHome.do	AiDA - knowledge, collaboration, information, partnerships	AiDA- Directory of development projects of major bilateral organizations, multilateral development ... AiDA Search Home Data Sources Aid Statistics The Aid ...
1.6	http://www.2aida.net/welcome	AIDA v4.3a freeware diabetes software simulator program of glucose-insulin action	Freeware diabetic software simulator / modeling program of blood glucose - insulin action + insulin dose &amp;amp; diet adjustment in type 1 diabetes mellitus
1.7	http://aida.freehep.org/	aida	September 2005 - AIDA Workshop in St Malo, France. ... AIDA Users/Developers Workshop held at CERN (June 3-7) February 2002 - Presentation on AIDA at ...
1.8	http://www.aida-americas.org/aida.php	AIDA : Home	AIDA denounces Colombian spraying in Ecuadorian border region and issues new ... AIDA is an international non-profit environmental law organization. ...
1.9	http://www.aida.co.za/	Aida - Property for sale - South Africa	Aida Online estate agency selling property throughout South Africa ... Aida Corporate Profile. Vision And Mission. Award Winners. Latest Press Releases. Archive ...
1.10	http://www.amazon.com/Verdi-Aida-Caball%C3%A9-Domingo-Muti/dp/B000002RXJ	Amazon.com: Verdi: Aida / Caballé, Domingo, Muti: Music: Riccardo Muti,Montserrat Caballé,Plácido Domingo	Amazon.com: Verdi: Aida / Caballé, Domingo, Muti: Music: Riccardo Muti,Montserrat Caballé,Plácido Domingo by Riccardo Muti,Montserrat Caballé,Plácido Domingo
1.11	http://www.amazon.com/AIDA-Leontyne-Price/dp/015200405X	Amazon.com: AIDA: Books: Leontyne Price,Leo &amp;amp; Diane Dillon	Amazon.com: AIDA: Books: Leontyne Price,Leo &amp;amp; Diane Dillon by Leontyne Price,Leo ... AIDA ... Elton John and Tim Rice's Aida: The Making of the Broadway Musical by ...
1.12	http://www.classical.net/music/comp.lst/works/verdi/aida/	Classical Net Article - Verdi - Aïda	Aïda, an Ethiopian princess, is torn between love of her ... man Aïda loves. ... senses the feelings between Aïda and Radames which angers her ...
1.13	http://www.aida.net/	Association for International Display of Art	Association for International Display of Art. The Art Exhibition Service ... AIDA. What does AIDA do. Whom does AIDA serve. Who supplies these exhibitions ...
1.14	http://www.aida.org.uk/default.asp	AIDA - Association Internationale de Droit des Assurances	The AIDA website contains a News section which provides information about ... The current issue of AIDA Mail, AIDA's quarterly newsletter, and an archive of ...
1.15	http://www.disneyonbroadway.com/	Disney On Broadway - The Official Homepage	Official site for Disney's theatrical musicals. Includes schedules and ticket and contest information such stage musicals as The Lion King, Beauty and the Beast, Aida, Tarzan: The Broadway Musical, and Mary Poppins: The Musical.
1.16	http://www.imdb.com/title/tt0045483/	Aida (1953)	Aida on IMDb: Movies, TV, ... production of Verdi's classic Aida succeeds in making grand ... title with other users on IMDb message board for Aida (1953) ...
1.17	http://www.theaidatour.com/	Welcome to the Official Website for The AIDA Tour!	Welcome to the Offical Website for the Aida Tour ... buy tickets for the AIDA tour. Where is AIDA now and. when is it coming to my town ...
1.18	http://us.imdb.com/Title?0254073	Aida (1985) (TV)	Aida on IMDb: Movies, TV, Celebs, and more... Discuss this title with other users on IMDb message board for Aida (1985) (TV) ...
1.19	http://rhaida.com/	Home	Rocky Hill Town Theatre will perform AIDA on March 24th, 25th &amp;amp; 31st and April ... Aida, a Nubian princess (played wonderfully by Famecia Ward) , is captured by an ...
1.20	http://www.2aida.net/	AIDA on-line free Web-based diabetes software simulator of glucose - insulin action	Freeware diabetic software simulator / modeling program of blood glucose - insulin action + insulin dose &amp;amp; diet adjustment in type 1 diabetes mellitus
1.21	http://us.aida-global.com/index.jsp	Welcome to Aida America	The leading global builder of the most comprehensive line of metalforming and stamping presses in the industry, recognized as a premier provider of smart stamping ...
1.22	http://www.aida-americas.org/	Aida	ï"¿ English EspaÃ±ol ...
1.23	http://www.fgo.org/06-07/production1.shtml	FLORIDA GRAND OPERA	Official Florida Grand ... grandest of all grand operas, Aida has long been a favorite ... loves the slave girl Aïda, and learns too late that ...
1.24	http://movies.aol.com/movie/aida/1226638/main	Aida - Moviefone	Aida - Get more information about Aida on Moviefone. ... performance of Guiseppe Verdi's Aida, captured live at the ... Verdi - Aida - Movie Info - Yahoo! ...
1.25	http://imk-aida.fzk.de/	AIDA - Aerosols and Heterogeneous Chemistry in the Atmosphere	Atmospheric Aerosol Research Department, Institute for Meteorology and Climate Research (IMK), Research Centre Karlsruhe. ... Contact AIDA Web Administration ...
1.26	http://www.aidabistro.com/	AIDA BISTRO &amp;amp; WINE BAR	Welcome to the Award Winning AIDA Bistro &amp;amp; New Wine Bar! ... the Baltimore Sun's Food Critic says about AIDA Bistro &amp;amp; Wine Bar. ...
1.27	http://www.mtishows.com/show_plot.asp?ID=000266	Show Plot: Elton John and Tim Rice's Aida: Music Theatre International - MTI - Musical Theatre Broadway Shows ...	MTI - Music Theatre International : One of the world's major dramatic licensing ... Radames, recalling his feelings for Aida, has another idea. ...
1.28	http://www.friendster.com/2728716	Friendster - Aida Ahmad	Friendster: Aida Ahmad; location: ?, MY; Selangor; ... Thank u.It was July,29.Nanti Kak Aida n Abg Shukri dtg la to my big day ok(tp ...
1.29	http://www.bigleague.org/06_aida.htm	Aida	AIDA ... John and Tim Rice's AIDA, a musical bursting with contemporary energy that tells of the love triangle between Aida, a Nubian princess stolen from ...
1.30	http://www.myspace.com/aida	www.myspace.com/aida	MySpace Profile - Aida, BILLINGS, Montana, US, i am the estranged sister! ... I am creating a Aida Tribute Band, I am taking applications if you are interested. ...
1.31	http://del.icio.us/tag/aida	Pages tagged with "aida" on del.icio.us	by pirotecnico to aida yespica nuda naked desnuda calendario ... by willmcinnes to blogging tips howto content goodcopy action aida landingpage ...
1.32	http://www.aidagrey.com/	Aida Grey:	Supplier of soaps, creams, moisturizers and other cleansing and treatment products for men, women, and teens.
1.33	http://finance.yahoo.com/q?s=aida.ob&amp;d=t	AIDA.OB: Summary for AIDA PHARMACEUTICALS - Yahoo! Finance	Get detailed information on AIDA PHARMACEUTICALS (AIDA.OB) including quote performance, Real-Time ECN, technical chart analysis, key stats, insider transactions, and ...
1.34	http://www.arena.it/eng/front/documentiING/sinopsi/aida.htm	Aida	... triumphantly to free his beloved Aida, slave of Amneris, the Egyptian King's daughter. ... of his feelings for Aida, although Amneris has her suspicions. ...
1.35	http://www.metacafe.com/tags/aida/	Aida Movies	Metacafe - Get the best internet videos - Funny videos, Amazing clips, Rare movies ... Aida Yespica Venezuelan born Italian, TV celebrity dances and look at ...
1.36	http://www.sacopera.org/aidapage.html	Aida the Opera	... he can free his beloved Aida, Ethiopian slave of the proud ... loves Radamès, jealously senses his feelings for Aida when the three meet. ... Aida ...
1.37	http://www.aida32.hu/	Announcement	MONTRÉAL, CANADA (April 19, 2004) -- Lavalys Consulting Group, today ... In his new role of CTO and Executive Vice President of Engineering Research and ...
1.38	http://www.myspace.com/aidaband	www.myspace.com/aidaband	MySpace Profile - aida, Vancouver, British Columbia, CA, ALBUM NOW AVAILABLE ON MYSPACE! ... Salut aida ! ... Hey aida! ...
1.39	http://www.rottentomatoes.com/m/1000506-aida/	Aida - Rotten Tomatoes	AIDA reviews from the nation's top critics and audiences. ... Currently, there are not enough Tomatometer critic reviews for Aida to receive a rating. ...
1.40	http://changingminds.org/disciplines/sales/methods/aida.htm	AIDA	AIDA = Attention, Interest, Desire, Action, which are keyh sales stages. ... AIDA is a simple acronym that was devised a long time ago as a reminder of four ...
1.41	http://dothack.wikia.com/wiki/AIDA	AIDA - .hack//Wiki - a Wikia wiki	The AIDA are "natural" AIs, formed from the errors in the Internet caused by the ... who was created by a system, the AIDA evolved much like normal life. ...
1.42	http://www.sheetmusicplus.com/a/item.html?id=77965&amp;item=3981403	Sheet Music Plus - Aida	Aida at Sheet Music Plus - Lyrics by Tim Rice, music by Elton John. ... "If you saw Aida like I have, you know its one of those okay shows that you ...
1.43	http://www.aidaarts.org/	AIDA: association of israel's decorative arts	... informal lunch and conversation with AIDA artist Hiyuli Liberman following the ... May 7-11 AIDA held its first glass blowing workshop at the Bezalel Academy in ...
1.44	http://www.aida-america.com/	Aida Global Metalforming Solutions	English America. English Europe. Espanol. Deutsch. Francais. Manzoni/Rovetta. English. Espanol. Deutsch. Francais. AIDA 2006 ANNUAL REPORT ...
1.45	http://artsedge.kennedy-center.org/content/2374/	ARTSEDGE: Aida and Its Relevance to the World Today	This lesson uses the opera Aida and the history of the Middle East and Africa to open discussions about the current crisis in the Middle East.
1.46	http://www.aidadancewear.com/	Aida Dancewear - Ballroom Dance Shoes, Skirts, Tops and Accessories	Carries a collection of ballroom, Latin and salsa dance costumes and apparel. Also carries Diamant, Supadance, Ray Rose, and Aida dance shoes.
1.47	http://www.geocities.com/JoeCable1996/ad/aida.html	Musical Cyberspace: Aida	AIDA. The Timeless Love Story. ... Brought to Egypt as a slave, Aida is saved from certain death in the copper ... Delivering Aida to the palace, he recognizes ...
1.48	http://www.aida-development.de/en_html/competences/index_idesign.htm	AIDA Development GmbH	Als junges und innovatives Dienstleistungsunternehmen konstruieren und entwickeln wir Strukturen und Komponenten für die Ausstattung moderner Großraumflugzeuge.
1.49	http://www.infoplease.com/ipea/A0153766.html	Aïda — Infoplease.com	AIDA Engineering Ltd.(ACQUISITIONS &amp;amp; MERGERS)(Manzoni and Rovetta) ... Toni Braxton takes on Broadway in 'Aida'; tells why she wants to play evil role ...
1.50	http://touregypt.net/vdc/aida.htm	Egypt Red Sea Shipwrecks - The Aida	Egypt shipwrecks in the Red Sea from the Virtual Red Sea Diving Center, with information on many major and minor shipwrecks in Egypt - The Aida
1.51	http://www.evermore.com/azo/98season/a_syn.php3	AZOpera Aida Synopsis	... enters and begins to question Radames, suspecting that he is in love with Aida. ... Aida is stunned to hear herself repeat these words, and is left to contemplate ...
1.52	http://www.mouseplanet.com/magicyears/myx/myx011213.htm	MousePlanet.com	Aida is a classic love story about star-crossed lovers, betrayal, trust and redemption. ... One of these women is Aida and, though she keeps her identity a ...
1.53	http://wwwinfo.cern.ch/asd/lhc++/AIDA/index.html	AIDA -- Abstract Interfaces for Data Analysis	
1.54	http://www.motopera.org/operas/aida.html	Aida	Detroit Opera House, Home of Michigan Opera Theatre ... The Ethiopian princess, Aida, captured and enslaved by the Egyptians, is torn ...
1.55	http://aida.bvdep.com/ip	Aida Login	Non sei autorizzato a connetterti da questa postazione. Your ... Please contact the BvD Suite Account Administrator of your company if. you think your IP ...
1.56	http://www.curtainup.com/aida.html	Aaida, a CurtainUp review	heater, theatre, Broadway, musicals, Verdi, Disney, Elton John Heather ... Giuseppe Verdi's Aida, for example, has been staged with a live elephant on stage. ...
1.57	http://home.earthlink.net/~beachwoodprs/html/AIDA.htm	AIDA	Aida is the most popular of the "grand operas" and its grandiose spectacle and ... Ghislanzoni focuses the story on Aida, daughter of an Ethiopian king. ...
1.58	http://www.epdlp.com/opera.php?id=142	Aida, de Giuseppe Verdi	El Poder de la Palabra es una web dedicada a la prosa potica, en ella encontrars fragmentos de ms de 2000 textos literarios, as como la biografa e imgenes de sus ...
1.59	http://home.planet.nl/~veld3996/Aida.html	AIDA	... of the marking MD41 on the 1250 AIDA lanterns and the origin of the lamps was long unknown. ... AIDA 1250 mantle with the number MD 46, the start of a new ...
